Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
CESC Ltd.,Power,CESC,EQ,INE486A01021
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
HBL Power Systems Ltd.,Automobile and Auto Components,HBLPOWER,EQ,INE292B01021
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
